openness,neuroticism,extraversion,agreeableness,conscientiousness
Social,Anxious,Organised,Helpful,Care
Honest,Unhappy,Held,Trust,Careful
Friendly,Negative,Fest,Empathetic,Closeness
Candid,Unstable,Activity,Faithful,Heed
Sincere,Worry,Managed,Trustworthy,Meticulosity
Genuine,Fear,Achievement,Pleasent,Attention
Risk,Envy,Sports,Cordial,Concentration
Danger,Jealousy,Music,Cheerful,Anger
machine,internet,java,python,conscience
technical,nothing,web design,employed,hardware
excite,anger,gregarious,maintain,open
enhance,disapprove,travelling,member,model
coordinate,lost,head,gain,design
write,dishonest,conducted,worked,operated
imagine,awkward,merriness,humble,grit
insightful,pessmism,friendly,patience,punctual
original,moodiness,affection,loyal,dependable
curious,timid,assertive,tact,ambition
daring,insecure,social,polite,thoroughness
clever,instable,talkative,kind,consistent
creative,self-regulation,cheerful,consideration,hardwork
intellect,resilience,liveliness,collegiality,planning
perceptive,criticism,optimism,amiability,energy
depth,wariness,communication,integrity,discipline
